dataset,cow_id,view,has_rgb_png,has_depth_png,has_view_ply,has_top_level_ply,has_aligned_ply
CowDB,80,top,True,True,False,True,False
CowDB,81,left,True,True,False,True,False
CowDB,81,right,True,True,False,True,False
CowDB,81,top,True,True,False,True,False
CowDB,82,left,True,True,False,True,False
CowDB,82,right,True,True,False,True,False
CowDB,82,top,True,True,False,True,False
CowDB,83,left,True,True,False,True,False
CowDB,83,right,True,True,False,True,False
CowDB,83,top,True,True,False,True,False
CowDB,84,left,True,True,False,True,False
CowDB,84,right,True,True,False,True,False
CowDB,84,top,True,True,False,True,False
CowDB,85,left,True,True,False,True,False
CowDB,85,right,True,True,False,True,False
CowDB,85,top,True,True,False,True,False
CowDB,86,left,True,True,False,True,False
CowDB,86,right,True,True,False,True,False
CowDB,86,top,True,True,False,True,False
CowDB,87,left,True,True,False,True,False
CowDB,87,right,True,True,False,True,False
CowDB,87,top,True,True,False,True,False
CowDB,88,left,True,True,False,True,False
CowDB,88,right,True,True,False,True,False
CowDB,88,top,True,True,False,True,False
CowDB,89,left,True,True,False,True,False
CowDB,89,right,True,True,False,True,False
CowDB,89,top,True,True,False,True,False
CowDB,9,left,True,True,False,True,False
CowDB,9,right,True,True,False,True,False
CowDB,9,top,True,True,False,True,False
CowDB,90,left,True,True,False,True,False
CowDB,90,right,True,True,False,True,False
CowDB,90,top,True,True,False,True,False
CowDB,91,left,True,True,False,True,False
CowDB,91,right,True,True,False,True,False
CowDB,91,top,True,True,False,True,False
CowDB,92,left,True,True,False,True,False
CowDB,92,right,True,True,False,True,False
CowDB,92,top,True,True,False,True,False
CowDB,93,left,True,True,False,True,False
CowDB,93,right,True,True,False,True,False
CowDB,93,top,True,True,False,True,False
CowDB,94,left,True,True,False,True,False
CowDB,94,right,True,True,False,True,False
CowDB,94,top,True,True,False,True,False
CowDB,95,left,True,True,False,True,False
CowDB,95,right,True,True,False,True,False
CowDB,95,top,True,True,False,True,False
CowDB,96,left,True,True,False,True,False
CowDB,96,right,True,True,False,True,False
CowDB,96,top,True,True,False,True,False
CowDB,97,left,True,True,False,True,False
CowDB,97,right,True,True,False,True,False
CowDB,97,top,True,True,False,True,False
CowDB,98,left,True,True,False,True,False
CowDB,98,right,True,True,False,True,False
CowDB,98,top,True,True,False,True,False
CowDB,99,left,True,True,False,True,False
CowDB,99,right,True,True,False,True,False
CowDB,99,top,True,True,False,True,False
CowDatabase2,1,left,True,True,True,False,True
CowDatabase2,1,right,True,True,True,False,True
CowDatabase2,1,top,True,True,True,False,True
CowDatabase2,100,left,True,True,True,False,True
CowDatabase2,100,right,True,True,True,False,True
CowDatabase2,100,top,True,True,True,False,True
CowDatabase2,101,left,True,True,True,False,True
CowDatabase2,101,right,True,True,True,False,True
CowDatabase2,101,top,True,True,True,False,True
CowDatabase2,102,left,True,True,True,False,True
CowDatabase2,102,right,True,True,True,False,True
CowDatabase2,102,top,True,True,True,False,True
CowDatabase2,103,left,True,True,True,False,True
CowDatabase2,103,right,True,True,True,False,True
CowDatabase2,103,top,True,True,True,False,True
CowDatabase2,104,left,True,True,True,False,True
CowDatabase2,104,right,True,True,True,False,True
CowDatabase2,104,top,True,True,True,False,True
CowDatabase2,105,left,True,True,True,False,True
CowDatabase2,105,right,True,True,True,False,True
CowDatabase2,105,top,True,True,True,False,True
CowDatabase2,106,left,True,True,True,False,True
CowDatabase2,106,right,True,True,True,False,True
CowDatabase2,106,top,True,True,True,False,True
CowDatabase2,107,left,True,True,True,False,True
CowDatabase2,107,right,True,True,True,False,True
CowDatabase2,107,top,True,True,True,False,True
CowDatabase2,108,left,True,True,True,False,True
CowDatabase2,108,right,True,True,True,False,True
CowDatabase2,108,top,True,True,True,False,True
CowDatabase2,109,left,True,True,True,False,True
CowDatabase2,109,right,True,True,True,False,True
CowDatabase2,109,top,True,True,True,False,True
CowDatabase2,110,left,True,True,True,False,True
CowDatabase2,110,right,True,True,True,False,True
CowDatabase2,110,top,True,True,True,False,True
CowDatabase2,111,left,True,True,True,False,True
CowDatabase2,111,right,True,True,True,False,True
CowDatabase2,111,top,True,True,True,False,True
CowDatabase2,112,left,True,True,True,False,True
CowDatabase2,112,right,True,True,True,False,True
CowDatabase2,112,top,True,True,True,False,True
CowDatabase2,113,left,True,True,True,False,True
CowDatabase2,113,right,True,True,True,False,True
CowDatabase2,113,top,True,True,True,False,True
CowDatabase2,114,left,True,True,True,False,True
CowDatabase2,114,right,True,True,True,False,True
CowDatabase2,114,top,True,True,True,False,True
CowDatabase2,115,left,True,True,True,False,True
CowDatabase2,115,right,True,True,True,False,True
CowDatabase2,115,top,True,True,True,False,True
CowDatabase2,116,left,True,True,True,False,True
CowDatabase2,116,right,True,True,True,False,True
CowDatabase2,116,top,True,True,True,False,True
CowDatabase2,117,left,True,True,True,False,True
CowDatabase2,117,right,True,True,True,False,True
CowDatabase2,117,top,True,True,True,False,True
CowDatabase2,118,left,True,True,True,False,True
CowDatabase2,118,right,True,True,True,False,True
CowDatabase2,118,top,True,True,True,False,True
